AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,Product__r.ReferenceName__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RecommendationTypeReference__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hQz000000UAswIAG,Non-standard action Life cover,,,a24Qz0000052dx5IAA,NON_STANDARD_ACTION,NON_STANDARD_ACTION,NON-STANDARD_ACTION_LIFE_COVER,Not required,{nsaction} - {destinationprovider} Life cover
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hQz000000UAsxIAG,Non-standard action Life & CIC,,,a24Qz0000052dx5IAA,NON_STANDARD_ACTION,NON_STANDARD_ACTION,NON-STANDARD_ACTION_LIFE_&_CIC,Not required,{nsaction} - {destinationprovider} Life & CIC
Not required,Not required,0121t000000MHItAAO,0121t000000MHItAAO,true,Not required,false,a2hQz000000UAsyIAG,Non-standard action Trust,,,a24Qz0000052dx5IAA,NON_STANDARD_ACTION,NON_STANDARD_ACTION,NON-STANDARD_ACTION_TRUST,Not required,{nsaction} - {destinationprovider} Trust
Not required,Not required,,,true,Not required,false,a2hQz000000UAszIAG,Non-standard action No product,,,a24Qz0000052dx5IAA,NON_STANDARD_ACTION,NON_STANDARD_ACTION,NON-STANDARD_ACTION_NO_PRODUCT,Not required,{nsaction}
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,true,Not required,false,a2hQz000000UAt0IAG,Update EoW SIPP,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dx6IAA,UPDATE_EOW,UPDATE_EOW,UPDATE_EOW_SIPP,Not required,Update the beneficiaries for your {destinationprovider} SIPP
Not required,Not required,0121t0000001eRhAAI,0121t0000001eRhAAI,true,Not required,false,a2hQz000000UAt1IAG,Update EoW Personal pension,,,a24Qz0000052dx6IAA,UPDATE_EOW,UPDATE_EOW,UPDATE_EOW_PP,Not required,Update the beneficiaries for your {destinationprovider} Personal pension
Not required,Not required,0121t0000001eSKAAY,0121t0000001eSKAAY,true,Not required,false,a2hQz000000UAt2IAG,Update EoW Stakeholder pension,,,a24Qz0000052dx6IAA,UPDATE_EOW,UPDATE_EOW,UPDATE_EOW_SP,Not required,Update the beneficiaries for your {destinationprovider} Stakeholder pension
Not required,Not required,0121t0000001eTLAAY,0121t0000001eTLAAY,true,Not required,false,a2hQz000000UAt3IAG,Update EoW Scheme pension,,,a24Qz0000052dx6IAA,UPDATE_EOW,UPDATE_EOW,UPDATE_EOW_SCHEME,Not required,Update the beneficiaries for your {destinationprovider} Occupational pension
Not required,Not required,0121t0000001eRRAAY,0121t0000001eRRAAY,true,Not required,false,a2hQz000000UAt4IAG,Update EoW Occupational pension,,,a24Qz0000052dx6IAA,UPDATE_EOW,UPDATE_EOW,UPDATE_EOW_OP,Not required,Update the beneficiaries for your {destinationprovider} Defined benefit pension
Not required,Not required,0121t0000001eQuAAI,0121t0000001eQuAAI,true,Not required,false,a2hQz000000UAt5IAG,Update EoW DB pension,,,a24Qz0000052dx6IAA,UPDATE_EOW,UPDATE_EOW,UPDATE_EOW_DB,Not required,Update the beneficiaries for your {destinationprovider} SIPP
