DeveloperName__c,FulfilmentType__c,FulfilmentType__r.ReferenceName__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
CANCEL_REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,a2hQz000000UAsCIAW,CANCEL_REGULAR_JUNIOR_ISA,,a2gQz000000tIeFIAU,Await first regular Cancel regular Junior ISA,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CANCEL_REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,a2hQz000000UAsDIAW,CANCEL_REGULAR_JUNIOR_SIPP,,a2gQz000000tIeGIAU,Await first regular Cancel regular Junior SIPP,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CANCEL_REGULAR_SIPP_AWAIT_FIRST_REGULAR,a2hQz000000UAsEIAW,CANCEL_REGULAR_SIPP,,a2gQz000000tIeHIAU,Await first regular Cancel regular SIPP,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CHANGE_TO_REGULAR_GIA_AWAIT_FIRST_REGULAR,a2hQz000000UAsFIAW,CHANGE_TO_REGULAR_GIA,,a2gQz000000tIeIIAU,Await first regular Change to regular GIA,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
CHANGE_TO_REGULAR_ISA_AWAIT_FIRST_REGULAR,a2hQz000000UAsGIAW,CHANGE_TO_REGULAR_ISA,,a2gQz000000tIeJIAU,Await first regular Change to regular ISA,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
CHANGE_TO_REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,a2hQz000000UAsHIAW,CHANGE_TO_REGULAR_JUNIOR_ISA,,a2gQz000000tIeKIAU,Await first regular Change to regular Junior ISA,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
CHANGE_TO_REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,a2hQz000000UAsIIAW,CHANGE_TO_REGULAR_JUNIOR_SIPP,,a2gQz000000tIeLIAU,Await first regular Change to regular Junior SIPP,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
CHANGE_TO_REGULAR_SIPP_AWAIT_FIRST_REGULAR,a2hQz000000UAsJIAW,CHANGE_TO_REGULAR_SIPP,,a2gQz000000tIeMIAU,Await first regular Change to regular SIPP,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
REGULAR_GIA_AWAIT_FIRST_REGULAR,a2hQz000000UAs0IAG,REGULAR_GIA,,a2gQz000000tIeNIAU,Await first regular Regular GIA,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?
REGULAR_ISA_AWAIT_FIRST_REGULAR,a2hQz000000UAs1IAG,REGULAR_ISA,,a2gQz000000tIeOIAU,Await first regular Regular ISA,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?
REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,a2hQz000000UAs2IAG,REGULAR_JUNIOR_ISA,,a2gQz000000tIePIAU,Await first regular Regular Junior ISA,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?;Has the account been made visible to the childs parents?
REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,a2hQz000000UAs3IAG,REGULAR_JUNIOR_SIPP,,a2gQz000000tIeQIAU,Await first regular Regular Junior SIPP,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?;Has the account been made visible to the childs parents?
