AdviceType__c,AdviceType__r.DeveloperName__c,DeveloperName__c,Id,Name,NextStatus__c,ServiceLevelAgreement__c,ServiceLevelAgreementApplies__c,Status__c,Task__c
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_SET_UP,a1QSl000002vCHpMAM,Annual Review | Accumulation | Set up,Prepare advice,1,true,Setup,ADVICE_ANNUAL_REVIEW_SET_UP
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DATA_GATHERING,a1QSl000002vCHqMAM,Annual Review | Accumulation | Data gathering,Data analysis,5,true,Data gathering,ADVICE_ANNUAL_REVIEW_DATA_GATHERING
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PREPARE,a1QSl000002vCHrMAM,Annual Review | Accumulation | Prepare,Present advice,5,true,Prepare advice,ADVICE_ANNUAL_REVIEW_ASSIGN
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PRESENT,a1QSl000002vCHsMAM,Annual Review | Accumulation | Present,Await decision,1,true,Present advice,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_AWAIT_DECISION,a1QSl000002vCHtMAM,Annual Review | Accumulation | Await Decision,In fulfilment,5,true,Await decision,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_FULFILMENT,a1QSl000002vCHuMAM,Annual Review | Accumulation | In Fulfilment,Complete,10,true,In fulfilment,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_COMPLETE,a1QSl000002vCHvMAM,Annual Review | Accumulation | Complete,,,false,Complete,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DECLINED,a1QSl000002vCHwMAM,Annual Review | Accumulation | Suitability Declined,,,false,Suitability declined,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_CANCELLED,a1QSl000002vCHxMAM,Annual Review | Accumulation | Cancelled,,,false,Cancelled,
a1RSl0000003AqvMAE,ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DATA_ANALYSIS,a1QSl000002vCHyMAM,Annual Review | Accumulation | Data analysis,Prepare advice,5,true,Data analysis,ADVICE_ANNUAL_REVIEW_DATA_GATHERING_CASE_SUMMARY
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_PRESENT,a1QSl000002vCHzMAM,Annual Review | Retirement | Present,Await decision,1,true,Present advice,
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_SET_UP,a1QSl000002vCI0MAM,Annual Review | Retirement | Set up,Prepare advice,1,true,Setup,ADVICE_ANNUAL_REVIEW_SET_UP
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_DATA_GATHERING,a1QSl000002vCI1MAM,Annual Review | Retirement | Data gathering,Data analysis,5,true,Data gathering,ADVICE_ANNUAL_REVIEW_DATA_GATHERING
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_PREPARE,a1QSl000002vCI2MAM,Annual Review | Retirement | Prepare,Present advice,5,true,Prepare advice,ADVICE_ANNUAL_REVIEW_ASSIGN
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_AWAIT_DECISION,a1QSl000002vCI3MAM,Annual Review | Retirement | Await Decision,In fulfilment,5,true,Await decision,
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_FULFILMENT,a1QSl000002vCI4MAM,Annual Review | Retirement | In Fulfilment,Complete,10,true,In fulfilment,
