DefaultAmount__c,DefaultOverrideable__c,Description__c,DeveloperName__c,Discountable__c,Duration__c,Format__c,Id,Maximum__c,Minimum__c,Name,NovaId__c,Product__c,Product__r.ReferenceName__c,ProductRecordType__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RevenueDueTo__c,RevenueDueTo__r.Name
,true,Commission paid to us as a result of this protection product,REF_27,false,One-off,Fixed amount,a2VQz000001pgJVMAY,100000000,0,LV Life Cover Commission,,a2YQz000000sESlMAM,LV_SINGLE_LIFE_COVER,0121t0000001eUvAAI,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_25,false,One-off,Fixed amount,a2VQz000001pgJWMAY,100000000,0,LV IP Commission,,a2YQz000000sESoMAM,LV_INCOME_PROTECTION,0121t0000001eUZAAY,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_26,false,One-off,Fixed amount,a2VQz000001pgJXMAY,100000000,0,LV Life & CIC Commission,,a2YQz000000sESpMAM,LV_LIFE_CIC,0121t0000001eU7AAI,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_23,false,One-off,Fixed amount,a2VQz000001pgJYMAY,100000000,0,AIG Relevant Life Commission,,a2YQz000000sESsMAM,AIG_RELEVANT_LIFE,012Sl0000003lgjIAA,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_19,false,One-off,Fixed amount,a2VQz000001pgJZMAY,100000000,0,AIG FIB Commission,,a2YQz000000sESrMAM,AIG_FIB,0124J000000cvmJQAQ,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_22,false,One-off,Fixed amount,a2VQz000001pgJaMAI,100000000,0,AIG Life Cover Commission,,a2YQz000000sESqMAM,AIG_SINGLE_LIFE_COVER,0121t0000001eUvAAI,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_20,false,One-off,Fixed amount,a2VQz000001pgJbMAI,100000000,0,AIG IP Commission,,a2YQz000000sEStMAM,AIG_INCOME_PROTECTION,0121t0000001eUZAAY,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_21,false,One-off,Fixed amount,a2VQz000001pgJcMAI,100000000,0,AIG Life & CIC Commission,,a2YQz000000sESuMAM,AIG_LIFE_CIC,0121t0000001eU7AAI,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_30,false,One-off,Fixed amount,a2VQz000001pgJdMAI,100000000,0,Aviva Relevant Life Commission,,a2YQz000000sESxMAM,AVIVA_RELEVANT_LIFE_COVER,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_31,false,One-off,Fixed amount,a2VQz000001pgJeMAI,100000000,0,Aviva FIB Commission,,a2YQz000000sESwMAM,AVIVA_FIB,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_32,false,One-off,Fixed amount,a2VQz000001pgJfMAI,100000000,0,Aviva Life Cover Commission,,a2YQz000000sESvMAM,AVIVA_SINGLE_LIFE_COVER,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_33,false,One-off,Fixed amount,a2VQz000001pgJgMAI,100000000,0,Aviva IP Commission,,a2YQz000000sESyMAM,AVIVA_INCOME_PROTECTION,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
