DeveloperName__c,FulfilmentType__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
REBALANCE_ISA_AWAITING_AD_HOC_ACTION,REBALANCE_ISA,,REBALANCE_ISA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Rebalance ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REBALANCE_SIPP_AWAITING_AD_HOC_ACTION,REBALANCE_SIPP,,REBALANCE_SIPP_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Rebalance SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REGULAR_GIA_AWAITING_AD_HOC_ACTION,REGULAR_GIA,,REGULAR_GIA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Regular GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REGULAR_ISA_AWAITING_AD_HOC_ACTION,REGULAR_ISA,,REGULAR_ISA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Regular ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
REGULAR_SIPP_AWAITING_AD_HOC_ACTION,REGULAR_SIPP,,REGULAR_SIPP_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Regular SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
SWITCH_GIA_AWAITING_AD_HOC_ACTION,SWITCH_GIA,,SWITCH_GIA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Switch GIA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
SWITCH_ISA_AWAITING_AD_HOC_ACTION,SWITCH_ISA,,SWITCH_ISA_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Switch ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
SWITCH_SIPP_AWAITING_AD_HOC_ACTION,SWITCH_SIPP,,SWITCH_SIPP_AWAITING_AD_HOC_ACTION,Awaiting ad hoc action Switch SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
CANCEL_REGULAR_GIA_AWAIT_FIRST_REGULAR,CANCEL_REGULAR_GIA,,CANCEL_REGULAR_GIA_AWAIT_FIRST_REGULAR,Await first regular Cancel regular GIA,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CANCEL_REGULAR_ISA_AWAIT_FIRST_REGULAR,CANCEL_REGULAR_ISA,,CANCEL_REGULAR_ISA_AWAIT_FIRST_REGULAR,Await first regular Cancel regular ISA,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CANCEL_REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,CANCEL_REGULAR_JUNIOR_ISA,,CANCEL_REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,Await first regular Cancel regular Junior ISA,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CANCEL_REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,CANCEL_REGULAR_JUNIOR_SIPP,,CANCEL_REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,Await first regular Cancel regular Junior SIPP,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CANCEL_REGULAR_SIPP_AWAIT_FIRST_REGULAR,CANCEL_REGULAR_SIPP,,CANCEL_REGULAR_SIPP_AWAIT_FIRST_REGULAR,Await first regular Cancel regular SIPP,,,FulfilmentScreenFundsReceived,ensure_regular_cancelled,Await first regular,Has the client been emailed with confirmation?;Have you ended the contribution in IO?
CHANGE_TO_REGULAR_GIA_AWAIT_FIRST_REGULAR,CHANGE_TO_REGULAR_GIA,,CHANGE_TO_REGULAR_GIA_AWAIT_FIRST_REGULAR,Await first regular Change to regular GIA,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
CHANGE_TO_REGULAR_ISA_AWAIT_FIRST_REGULAR,CHANGE_TO_REGULAR_ISA,,CHANGE_TO_REGULAR_ISA_AWAIT_FIRST_REGULAR,Await first regular Change to regular ISA,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
CHANGE_TO_REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,CHANGE_TO_REGULAR_JUNIOR_ISA,,CHANGE_TO_REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,Await first regular Change to regular Junior ISA,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
CHANGE_TO_REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,CHANGE_TO_REGULAR_JUNIOR_SIPP,,CHANGE_TO_REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,Await first regular Change to regular Junior SIPP,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
CHANGE_TO_REGULAR_SIPP_AWAIT_FIRST_REGULAR,CHANGE_TO_REGULAR_SIPP,,CHANGE_TO_REGULAR_SIPP_AWAIT_FIRST_REGULAR,Await first regular Change to regular SIPP,,,FulfilmentScreenFundsReceived,Ensure_regular_changed,Await first regular,Has the client been emailed with confirmation?;Have you updated the contribution in IO (with a start date)?
REGULAR_GIA_AWAIT_FIRST_REGULAR,REGULAR_GIA,,REGULAR_GIA_AWAIT_FIRST_REGULAR,Await first regular Regular GIA,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?
REGULAR_ISA_AWAIT_FIRST_REGULAR,REGULAR_ISA,,REGULAR_ISA_AWAIT_FIRST_REGULAR,Await first regular Regular ISA,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?
REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,REGULAR_JUNIOR_ISA,,REGULAR_JUNIOR_ISA_AWAIT_FIRST_REGULAR,Await first regular Regular Junior ISA,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?;Has the account been made visible to the childs parents?
REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,REGULAR_JUNIOR_SIPP,,REGULAR_JUNIOR_SIPP_AWAIT_FIRST_REGULAR,Await first regular Regular Junior SIPP,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?;Has the account been made visible to the childs parents?
REGULAR_SIPP_AWAIT_FIRST_REGULAR,REGULAR_SIPP,,REGULAR_SIPP_AWAIT_FIRST_REGULAR,Await first regular Regular SIPP,,,FulfilmentScreenFundsReceived,ensure_regular_taken,Await first regular,Have you added the contribution to IO (with a start date)?
EXTERNAL_TRANSFER_GIA_AWAITING_PRE-REQUISITES,EXTERNAL_TRANSFER_GIA,,EXTERNAL_TRANSFER_GIA_AWAITING_PRE-REQUISITES,Awaiting pre-requisites External transfer GIA,,,FulfilmentScreenForms,send_transfer_forms,Awaiting pre-requisites,
EXTERNAL_TRANSFER_ISA_AWAITING_PRE-REQUISITES,EXTERNAL_TRANSFER_ISA,,EXTERNAL_TRANSFER_ISA_AWAITING_PRE-REQUISITES,Awaiting pre-requisites External transfer ISA,,,FulfilmentScreenForms,send_transfer_forms,Awaiting pre-requisites,
EXTERNAL_TRANSFER_JUNIOR_ISA_AWAITING_PRE-REQUISITES,EXTERNAL_TRANSFER_JUNIOR_ISA,,EXTERNAL_TRANSFER_JUNIOR_ISA_AWAITING_PRE-REQUISITES,Awaiting pre-requisites External transfer Junior ISA,,,FulfilmentScreenForms,send_transfer_forms,Awaiting pre-requisites,
EXTERNAL_TRANSFER_JUNIOR_SIPP_AWAITING_PRE-REQUISITES,EXTERNAL_TRANSFER_JUNIOR_SIPP,,EXTERNAL_TRANSFER_JUNIOR_SIPP_AWAITING_PRE-REQUISITES,Awaiting pre-requisites External transfer Junior SIPP,,,FulfilmentScreenForms,send_transfer_forms,Awaiting pre-requisites,
EXTERNAL_TRANSFER_SIPP_AWAITING_PRE-REQUISITES,EXTERNAL_TRANSFER_SIPP,,EXTERNAL_TRANSFER_SIPP_AWAITING_PRE-REQUISITES,Awaiting pre-requisites External transfer SIPP,,,FulfilmentScreenForms,send_transfer_forms,Awaiting pre-requisites,
EMPLOYER_LUMP_SUM_SIPP_CHASE_CLIENT_PAYMENT,EMPLOYER_LUMP_SUM_SIPP,,EMPLOYER_LUMP_SUM_SIPP_CHASE_CLIENT_PAYMENT,Chase client payment Employer Lump sum SIPP,,,FulfilmentScreenFundsReceived,chase_employer_payment,Chase client payment,"Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;If the amount wasn't as expected, has hubwise been emailed?"
EMPLOYER_REGULAR_SIPP_AWAIT_FIRST_REGULAR,EMPLOYER_REGULAR_SIPP,,EMPLOYER_REGULAR_SIPP_AWAIT_FIRST_REGULAR,Await first regular Employer Regular SIPP,,,FulfilmentScreenFundsReceived,chase_employer_payment,Await first regular,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?
LUMP_SUM_GIA_CHASE_CLIENT_PAYMENT,LUMP_SUM_GIA,,LUMP_SUM_GIA_CHASE_CLIENT_PAYMENT,Chase client payment Lump sum GIA,,,FulfilmentScreenFundsReceived,chase_client_payment,Chase client payment,"Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;If the amount wasn't as expected, has hubwise been emailed?"
LUMP_SUM_ISA_CHASE_CLIENT_PAYMENT,LUMP_SUM_ISA,,LUMP_SUM_ISA_CHASE_CLIENT_PAYMENT,Chase client payment Lump sum ISA,,,FulfilmentScreenFundsReceived,chase_client_payment,Chase client payment,"Has the client been emailed with confirmation?;Have you added the contribution to IO, with a start date?;If the amount wasn't as expected, has hubwise been emailed?;"
LUMP_SUM_JUNIOR_ISA_CHASE_CLIENT_PAYMENT,LUMP_SUM_JUNIOR_ISA,,LUMP_SUM_JUNIOR_ISA_CHASE_CLIENT_PAYMENT,Chase client payment Lump sum Junior ISA,,,FulfilmentScreenFundsReceived,chase_client_payment,Chase client payment,"Has the client been emailed with confirmation?;Have you added the contribution to IO with a start date?;If the amount wasn't as expected, has hubwise been emailed?;Has the account been made visible to the childs parents?"
