AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,Product__r.ReferenceName__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RecommendationTypeReference__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,true,Not required,false,a2hSl0000000x8BIAQ,Client action JISA,a2Y8e000000gCcxEAE,JISA_HUBWISE,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_JISA,Not required,{nsaction} - {destinationprovider} JISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,true,Not required,false,a2hSl0000000x8CIAQ,Client action JSIPP,a2Y8e0000001VB1EAM,JSIPP_HUBWISE,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_JSIPP,Not required,{nsaction} - {destinationprovider} JSIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,true,Not required,false,a2hSl0000000x8DIAQ,Client action GIA,a2Y8e000000gCd2EAE,GIA_HUBWISE,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_GIA,Not required,{nsaction} - {destinationprovider} GIA
Not required,Not required,0121t0000001eN1AAI,0121t0000001eN1AAI,true,Not required,false,a2hSl0000000x8EIAQ,Client action Cash ISA,,,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_CASH_ISA,Not required,{nsaction} - {destinationprovider} Cash ISA
Not required,Not required,0121t0000001ePyAAI,0121t0000001ePyAAI,true,Not required,false,a2hSl0000000x8FIAQ,Client action Direct equity,a2Y8e000000gCd2EAE,GIA_HUBWISE,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_DIRECT_EQUITY,Not required,{nsaction} - {destinationprovider} Direct equity
Not required,Not required,0121t0000001eMjAAI,0121t0000001eMjAAI,true,Not required,false,a2hSl0000000x8GIAQ,Client action Offshore bond,,,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_OFFSHORE_BOND,Not required,{nsaction} - {destinationprovider} Offshore bond
Not required,Not required,0124J000000czpjQAA,0124J000000czpjQAA,true,Not required,false,a2hSl0000000x8HIAQ,Client action Premium bond,,,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_PREMIUM_BOND,Not required,{nsaction} - {destinationprovider} Premium bond
Not required,Not required,0121t0000001eQuAAI,0121t0000001eQuAAI,true,Not required,false,a2hSl0000000x8IIAQ,Client action DB Pension,,,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_DB_PENSION,Not required,{nsaction} - {destinationprovider} DB Pension
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hSl0000000x8JIAQ,Client action VCT,,,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_VCT,Not required,{nsaction} - {destinationprovider} VCT
Not required,Not required,0121t0000001eObAAI,0121t0000001eObAAI,true,Not required,false,a2hSl0000000x8KIAQ,Client action EIS,,,a24Sl0000005yoLIAQ,CLIENT_ACTION,CLIENT_ACTION,CLIENT_ACTION_EIS,Not required,{nsaction} - {destinationprovider} EIS
