AdviceType__c,DeveloperName__c,Id,Name,NextStatus__c,ServiceLevelAgreement__c,ServiceLevelAgreementApplies__c,Status__c,Task__c
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PREPARE,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PREPARE,Annual Review | Accumulation | Prepare,Present advice,5,True,Prepare advice,ADVICE_ANNUAL_REVIEW_ASSIGN
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PRESENT,ADVICE_ANNUAL_REVIEW_ACCUMULATION_PRESENT,Annual Review | Accumulation | Present,Await decision,1,True,Present advice,
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_AWAIT_DECISION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_AWAIT_DECISION,Annual Review | Accumulation | Await Decision,In fulfilment,5,True,Await decision,
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_FULFILMENT,ADVICE_ANNUAL_REVIEW_ACCUMULATION_FULFILMENT,Annual Review | Accumulation | In Fulfilment,Complete,10,True,In fulfilment,
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_COMPLETE,ADVICE_ANNUAL_REVIEW_ACCUMULATION_COMPLETE,Annual Review | Accumulation | Complete,,,False,Complete,
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DECLINED,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DECLINED,Annual Review | Accumulation | Suitability Declined,,,False,Suitability declined,
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_CANCELLED,ADVICE_ANNUAL_REVIEW_ACCUMULATION_CANCELLED,Annual Review | Accumulation | Cancelled,,,False,Cancelled,
ANNUAL_REVIEW_ACCUMULATION,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DATA_ANALYSIS,ADVICE_ANNUAL_REVIEW_ACCUMULATION_DATA_ANALYSIS,Annual Review | Accumulation | Data analysis,Prepare advice,5,True,Data analysis,ADVICE_ANNUAL_REVIEW_DATA_GATHERING_CASE_SUMMARY
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_PRESENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_PRESENT,Annual Review | Retirement | Present,Await decision,1,True,Present advice,
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_SET_UP,ADVICE_ANNUAL_REVIEW_RETIREMENT_SET_UP,Annual Review | Retirement | Set up,Prepare advice,1,True,Setup,ADVICE_ANNUAL_REVIEW_SET_UP
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_DATA_GATHERING,ADVICE_ANNUAL_REVIEW_RETIREMENT_DATA_GATHERING,Annual Review | Retirement | Data gathering,Data analysis,5,True,Data gathering,
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_PREPARE,ADVICE_ANNUAL_REVIEW_RETIREMENT_PREPARE,Annual Review | Retirement | Prepare,Present advice,5,True,Prepare advice,ADVICE_ANNUAL_REVIEW_ASSIGN
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_AWAIT_DECISION,ADVICE_ANNUAL_REVIEW_RETIREMENT_AWAIT_DECISION,Annual Review | Retirement | Await Decision,In fulfilment,5,True,Await decision,
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_FULFILMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_FULFILMENT,Annual Review | Retirement | In Fulfilment,Complete,10,True,In fulfilment,
