AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,RecommendationType__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,TRUE,Not required,FALSE,REGULAR_WITHDRAWAL_GIA,Regular withdrawal GIA,GIA_HUBWISE,REGULAR_WITHDRAWAL,REGULAR_WITHDRAWAL_GIA,Not required,
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,TRUE,Not required,FALSE,LUMP_SUM_WITHDRAWAL_SIPP,Lump sum withdrawal SIPP,SIPP_HUBWISE,LUMP_SUM_WITHDRAWAL,LUMP_SUM_WITHDRAWAL_SIPP,Not required,
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,TRUE,Not required,FALSE,REGULAR_WITHDRAWAL_ISA,Regular withdrawal ISA,SSISA_HUBWISE,REGULAR_WITHDRAWAL,REGULAR_WITHDRAWAL_ISA,Not required,
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,TRUE,Not required,FALSE,REGULAR_WITHDRAWAL_SIPP,Regular withdrawal SIPP,SIPP_HUBWISE,REGULAR_WITHDRAWAL,REGULAR_WITHDRAWAL_SIPP,Not required,
,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,TRUE,Not required,FALSE,OPEN_PRODUCT_VCT,Open product VCT,,OPEN_PRODUCT,OPEN_PRODUCT_VCT,Not required,
Not required,Not required,0121t0000001eObAAI,0121t0000001eObAAI,TRUE,Not required,FALSE,OPEN_PRODUCT_EIS,Open product Knowledge Intensive EIS,KI_OI_EIS,OPEN_PRODUCT,OPEN_PRODUCT_EIS,Not required,
Not required,Not required,0121t0000001eObAAI,0121t0000001eObAAI,FALSE,Not required,FALSE,LUMP_SUM_EIS,Lump sum Knowledge Intensive EIS,KI_OI_EIS,LUMP_SUM,LUMP_SUM_EIS,Not required,Lump sum to your new EIS
,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,FALSE,Not required,FALSE,LUMP_SUM_VCT,Lump sum VCT,,LUMP_SUM,LUMP_SUM_VCT,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,CLIENT_ACTION_SIPP,Client action SIPP,SIPP_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_SIPP,Not required,{nsaction} - {destinationprovider} SIPP
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,CLIENT_ACTION_ISA,Client action ISA,SSISA_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_ISA,Not required,{nsaction} - {destinationprovider} ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,CLIENT_ACTION_JISA,Client action JISA,JISA_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_JISA,Not required,{nsaction} - {destinationprovider} JISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,CLIENT_ACTION_JSIPP,Client action JSIPP,JSIPP_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_JSIPP,Not required,{nsaction} - {destinationprovider} JSIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,CLIENT_ACTION_GIA,Client action GIA,GIA_HUBWISE,CLIENT_ACTION,CLIENT_ACTION_GIA,Not required,{nsaction} - {destinationprovider} GIA
Not required,Not required,0121t0000001eN1AAI,0121t0000001eN1AAI,FALSE,Not required,FALSE,CLIENT_ACTION_CASH_ISA,Client action Cash ISA,,CLIENT_ACTION,CLIENT_ACTION_CASH_ISA,Not required,{nsaction} - {destinationprovider} Cash ISA
Not required,Not required,0121t0000001ePyAAI,0121t0000001ePyAAI,FALSE,Not required,FALSE,CLIENT_ACTION_DIRECT_EQUITY,Client action Direct equity,,CLIENT_ACTION,CLIENT_ACTION_DIRECT_EQUITY,Not required,{nsaction} - {destinationprovider} Direct equity
Not required,Not required,0121t0000001eMjAAI,0121t0000001eMjAAI,FALSE,Not required,FALSE,CLIENT_ACTION_OFFSHORE_BOND,Client action Offshore bond,,CLIENT_ACTION,CLIENT_ACTION_OFFSHORE_BOND,Not required,{nsaction} - {destinationprovider} Offshore bond
Not required,Not required,0124J000000czpjQAA,0124J000000czpjQAA,FALSE,Not required,FALSE,CLIENT_ACTION_PREMIUM_BOND,Client action Premium bond,,CLIENT_ACTION,CLIENT_ACTION_PREMIUM_BOND,Not required,{nsaction} - {destinationprovider} Premium bond
Not required,Not required,0121t0000001eQuAAI,0121t0000001eQuAAI,FALSE,Not required,FALSE,CLIENT_ACTION_DB_PENSION,Client action DB Pension,,CLIENT_ACTION,CLIENT_ACTION_DB_PENSION,Not required,{nsaction} - {destinationprovider} DB Pension
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,FALSE,Not required,FALSE,CLIENT_ACTION_VCT,Client action VCT,,CLIENT_ACTION,CLIENT_ACTION_VCT,Not required,{nsaction} - {destinationprovider} VCT
Not required,Not required,0121t0000001eObAAI,0121t0000001eObAAI,FALSE,Not required,FALSE,CLIENT_ACTION_EIS,Client action EIS,,CLIENT_ACTION,CLIENT_ACTION_EIS,Not required,{nsaction} - {destinationprovider} EIS
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,FALSE,Not required,FALSE,CLIENT_ACTION_LIFE_COVER,Client action Life cover,,CLIENT_ACTION,CLIENT_ACTION_LIFE_COVER,Not required,{nsaction} - {destinationprovider} Life cover
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,FALSE,Not required,FALSE,CLIENT_ACTION_LIFE_&_CIC,Client action Life & CIC,,CLIENT_ACTION,CLIENT_ACTION_LIFE_&_CIC,Not required,{nsaction} - {destinationprovider} Life & CIC
Not required,Not required,0121t000000MHItAAO,0121t000000MHItAAO,FALSE,Not required,FALSE,CLIENT_ACTION_TRUST,Client action Trust,,CLIENT_ACTION,CLIENT_ACTION_TRUST,Not required,{nsaction} - {destinationprovider} Trust
Not required,Not required,,,FALSE,Not required,FALSE,CLIENT_ACTION_NO_PRODUCT,Client action No product,,CLIENT_ACTION,CLIENT_ACTION_NO_PRODUCT,Not required,{nsaction}
Not required,Not required,0121t0000001eRHAAY,0121t0000001eRHAAY,FALSE,Not required,FALSE,NON-STANDARD_ACTION_SIPP,Non-standard action SIPP,SIPP_HUBWISE,NON_STANDARD_ACTION,NON-STANDARD_ACTION_SIPP,Not required,{nsaction} - {destinationprovider} SIPP
Not required,Not required,0121t0000001eNHAAY,0121t0000001eNHAAY,FALSE,Not required,FALSE,NON-STANDARD_ACTION_ISA,Non-standard action ISA,SSISA_HUBWISE,NON_STANDARD_ACTION,NON-STANDARD_ACTION_ISA,Not required,{nsaction} - {destinationprovider} ISA
Not required,Not required,0121t0000001l9AAAQ,0121t0000001l9AAAQ,FALSE,Not required,FALSE,NON-STANDARD_ACTION_JISA,Non-standard action JISA,JISA_HUBWISE,NON_STANDARD_ACTION,NON-STANDARD_ACTION_JISA,Not required,{nsaction} - {destinationprovider} JISA
Not required,Not required,0124J000000d1BjQAI,0124J000000d1BjQAI,FALSE,Not required,FALSE,NON-STANDARD_ACTION_JSIPP,Non-standard action JSIPP,JSIPP_HUBWISE,NON_STANDARD_ACTION,NON-STANDARD_ACTION_JSIPP,Not required,{nsaction} - {destinationprovider} JSIPP
Not required,Not required,0121t0000001ePeAAI,0121t0000001ePeAAI,FALSE,Not required,FALSE,NON-STANDARD_ACTION_GIA,Non-standard action GIA,GIA_HUBWISE,NON_STANDARD_ACTION,NON-STANDARD_ACTION_GIA,Not required,{nsaction} - {destinationprovider} GIA
Not required,Not required,0121t0000001eN1AAI,0121t0000001eN1AAI,FALSE,Not required,FALSE,NON-STANDARD_ACTION_CASH_ISA,Non-standard action Cash ISA,,NON_STANDARD_ACTION,NON-STANDARD_ACTION_CASH_ISA,Not required,{nsaction} - {destinationprovider} Cash ISA
Not required,Not required,0121t0000001ePyAAI,0121t0000001ePyAAI,FALSE,Not required,FALSE,NON-STANDARD_ACTION_DIRECT_EQUITY,Non-standard action Direct equity,,NON_STANDARD_ACTION,NON-STANDARD_ACTION_DIRECT_EQUITY,Not required,{nsaction} - {destinationprovider} Direct equity
