AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,RecommendationType__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,FALSE,Not required,FALSE,LUMP_SUM_VCT_TITAN,Lump sum Titan VCT,VCT_TITAN_OI,LUMP_SUM,LUMP_SUM_VCT_TITAN,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,FALSE,Not required,FALSE,LUMP_SUM_VCT_AIM,Lump sum AIM VCT,AIM_OI_VCT,LUMP_SUM,LUMP_SUM_VCT_AIM,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,FALSE,Not required,FALSE,LUMP_SUM_VCT_FG,Lump sum Future generations VCT,FG_OI_VCT,LUMP_SUM,LUMP_SUM_VCT_FG,Not required,Lump sum to your new VCT
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,TRUE,Not required,FALSE,OPEN_LV_RELEVANT_LIFE_COVER,Open LV Relevant Life Cover,LV_RELEVANT_LIFE,OPEN_PRODUCT,OPEN_LV_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,TRUE,Not required,FALSE,OPEN_LV_FAMILY_INCOME_BENEFIT,Open LV Family Income Benefit,LV_FIB,OPEN_PRODUCT,OPEN_LV_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,TRUE,Not required,FALSE,OPEN_LV_LIFE_COVER,Open LV Life Cover,LV_SINGLE_LIFE_COVER,OPEN_PRODUCT,OPEN_LV_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,TRUE,Not required,FALSE,OPEN_LV_INCOME_PROTECTION,Open LV Income Protection,LV_INCOME_PROTECTION,OPEN_PRODUCT,OPEN_LV_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,TRUE,Not required,FALSE,OPEN_LV_LIFE_CIC,Open LV Life & CIC,LV_LIFE_CIC,OPEN_PRODUCT,OPEN_LV_LIFE_CIC,Not required,
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,TRUE,Not required,FALSE,CANCEL_RELEVANT_LIFE_COVER,Cancel Relevant Life Cover,LV_RELEVANT_LIFE,CANCEL_EXISTING_PROTECTION,CANCEL_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,TRUE,Not required,FALSE,CANCEL_FAMILY_INCOME_BENEFIT,Cancel Family Income Benefit,LV_FIB,CANCEL_EXISTING_PROTECTION,CANCEL_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,TRUE,Not required,FALSE,CANCEL_LIFE_COVER,Cancel Life Cover,LV_SINGLE_LIFE_COVER,CANCEL_EXISTING_PROTECTION,CANCEL_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,TRUE,Not required,FALSE,CANCEL_INCOME_PROTECTION,Cancel Income Protection,LV_INCOME_PROTECTION,CANCEL_EXISTING_PROTECTION,CANCEL_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,TRUE,Not required,FALSE,CANCEL_LIFE_CIC,Cancel Life & CIC,LV_LIFE_CIC,CANCEL_EXISTING_PROTECTION,CANCEL_LIFE_CIC,Not required,
