DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
COUPLAND_CARDIFF_ASSET_MANAGEMENT_LLP,COUPLAND_CARDIFF_ASSET_MANAGEMENT_LLP,Coupland Cardiff Asset Management LLP,a264J000001QEWQQA4,False,False,False,False,
COVENTRY_BUILDING_SOCIETY,COVENTRY_BUILDING_SOCIETY,Coventry Building Society,a264J000001QEWRQA4,False,False,False,False,
CREDIT_SUISSE,CREDIT_SUISSE,Credit Suisse,a264J000001QEWSQA4,False,False,False,False,
CURTIS_BANKS,CURTIS_BANKS,Curtis Banks,a264J000001QEWTQA4,False,False,True,False,CB
CURTIS_BANKS_DUNDEE,CURTIS_BANKS_DUNDEE,Curtis Banks (Dundee),a264J000001QEWUQA4,False,False,False,False,
DE_GIRO,DE_GIRO,De Giro,a264J000001QEWVQA4,False,False,False,False,
EBS_PENSIONS_LIMITED,EBS_PENSIONS_LIMITED,EBS Pensions Limited,a264J000001QEWWQA4,False,False,False,False,
EQUINITI,EQUINITI,Equiniti,a264J000001QEWXQA4,False,False,False,False,
EQUINITI_HEWLETT_PACKARD,EQUINITI_HEWLETT_PACKARD,Equiniti (Hewlett Packard),a264J000001QEWYQA4,False,False,False,False,
EQUINITI_SMITH__NEPHEW,EQUINITI_SMITH__NEPHEW,Equiniti Smith & Nephew,a264J000001QEWZQA4,False,False,False,False,
EQUIOM_GUERNSEY,EQUIOM_GUERNSEY,Equiom Guernsey,a264J000001QEWaQAO,False,False,False,False,
EQUITABLE_LIFE4,EQUITABLE_LIFE4,Equitable Life,a264J000001QEWbQAO,False,False,False,False,
EQUITABLE_LIFE_WILLIS_TOWERS_WATSON,EQUITABLE_LIFE_WILLIS_TOWERS_WATSON,Equitable Life (Willis Towers Watson),a264J000001QEWcQAO,False,False,False,False,
EUROPE_ARAB_BANK_JLT_BENEFITS_SOLUTIONS,EUROPE_ARAB_BANK_JLT_BENEFITS_SOLUTIONS,Europe Arab Bank (JLT Benefits Solutions),a264J000001QEWdQAO,False,False,False,False,
FIDELITY,FIDELITY,Fidelity,a264J000001QEWeQAO,False,False,False,False,
FIRST_DIRECT,FIRST_DIRECT,First Direct,a264J000001QEWfQAO,False,False,False,False,
FISHER_INVESTMENTS,FISHER_INVESTMENTS,Fisher Investments,a264J000001QEWgQAO,False,False,False,False,
FORESIGHT,FORESIGHT,Foresight,a264J000001QEWhQAO,False,False,False,False,
FORESTERS_FINANCIAL,FORESTERS_FINANCIAL,Foresters Financial,a264J000001QEWiQAO,False,False,False,False,
FRIENDS_PROVIDENT_INTERNATIONAL,FRIENDS_PROVIDENT_INTERNATIONAL,Friends Provident International,a264J000001QEWjQAO,False,False,False,False,
FUNDING_CIRCLE,FUNDING_CIRCLE,Funding Circle,a264J000001QEWkQAO,False,False,False,False,
FUND_PARTNERS,FUND_PARTNERS,Fund Partners,a264J000001QEWlQAO,False,False,False,False,
FUNDSMITH_LLP,FUNDSMITH_LLP,Fundsmith LLP,a264J000001QEWmQAO,False,False,False,False,
GATWICK_AIRPORT,GATWICK_AIRPORT,Gatwick Airport,a264J000001QEWnQAO,False,False,False,False,
GOLDMAN_SACHS_AON,GOLDMAN_SACHS_AON,Goldman Sachs (Aon),a264J000001QEWoQAO,False,False,False,False,
GOLDMAN_SACHS_WILLIS_TOWERS_WATSON,GOLDMAN_SACHS_WILLIS_TOWERS_WATSON,Goldman Sachs (Willis Towers Watson),a264J000001QEWpQAO,False,False,False,False,
GREATER_MANCHESTER_PENSION_FUND,GREATER_MANCHESTER_PENSION_FUND,Greater Manchester Pension Fund,a264J000001QEWqQAO,False,False,False,False,
HALIFAX,HALIFAX,Halifax,a264J000001QEWrQAO,False,False,False,False,
HALIFAX_FINANCIAL_SERVICES,HALIFAX_FINANCIAL_SERVICES,Halifax Financial Services,a264J000001QEWsQAO,False,False,False,False,
HARGREAVES_LANSDOWN,HARGREAVES_LANSDOWN,Hargreaves Lansdown,a264J000001QEWtQAO,False,False,False,False,
HARRODS,HARRODS,Harrods,a264J000001QEWuQAO,False,False,False,False,
HBOS_WILLIS_TOWERS_WATSON,HBOS_WILLIS_TOWERS_WATSON,HBOS (Willis Towers Watson),a264J000001QEWvQAO,False,False,False,False,
HEWLETT_PACKARD,HEWLETT_PACKARD,Hewlett Packard,a264J000001QEWwQAO,False,False,False,False,
HOME_RETAIL_GROUP_JLT_BENEFIT_SOLUTIONS,HOME_RETAIL_GROUP_JLT_BENEFIT_SOLUTIONS,Home Retail Group (JLT Benefit Solutions),a264J000001QEWxQAO,False,False,False,False,
HSBC,HSBC,HSBC,a264J000001QEWyQAO,False,False,False,False,
HSBC_EMPLOYEE_SCHEME_WILLIS_TOWERS_WATSON,HSBC_EMPLOYEE_SCHEME_WILLIS_TOWERS_WATSON,HSBC Employee Scheme (Willis Towers Watson),a264J000001QEWzQAO,False,False,False,False,
HSBC_INVESTMENTS,HSBC_INVESTMENTS,HSBC Investments,a264J000001QEX0QAO,False,False,False,False,
HUME_GLOBAL_INVESTORS_PCC_LIMITED,HUME_GLOBAL_INVESTORS_PCC_LIMITED,Hume global Investors PCC Limited,a264J000001QEX1QAO,False,False,False,False,
INTERACTIVE_BROKERS,INTERACTIVE_BROKERS,Interactive Brokers,a264J000001QEX2QAO,False,False,False,False,
INTERACTIVE_INVESTOR,INTERACTIVE_INVESTOR,Interactive Investor,a264J000001QEX3QAO,False,False,False,False,
INVESCO_PERPETUAL,INVESCO_PERPETUAL,Invesco Perpetual,a264J000001QEX4QAO,False,False,False,False,
JP_MORGAN_ASSET_MANAGEMENT_DST,JP_MORGAN_ASSET_MANAGEMENT_DST,J.P. Morgan Asset Management (DST),a264J000001QEX5QAO,False,False,False,False,
JAMES_HAY,JAMES_HAY,James Hay,a264J000001QEX6QAO,False,False,False,False,
JANUS_HENDERSON_INVESTORS,JANUS_HENDERSON_INVESTORS,Janus Henderson Investors,a264J000001QEX7QAO,False,False,False,False,
JOHN_LAING,JOHN_LAING,John Laing,a264J000001QEX8QAO,False,False,False,False,
JOHN_LEWIS_PARTNERSHIP,JOHN_LEWIS_PARTNERSHIP,John Lewis Partnership,a264J000001QEX9QAO,False,False,False,False,
JP_MORGAN,JP_MORGAN,JP Morgan,a264J000001QEXAQA4,False,False,False,False,
JUPITER_INVESTMENTS,JUPITER_INVESTMENTS,Jupiter Investments,a264J000001QEXBQA4,False,False,False,False,
JUST,JUST,Just,a264J000001QEXCQA4,False,False,False,False,
KILLIK__CO,KILLIK__CO,Killik & Co,a264J000001QEXDQA4,False,False,False,False,
KINGFISHER,KINGFISHER,Kingfisher,a264J000001QEXEQA4,False,False,False,False,
LEGAL__GENERAL,LEGAL__GENERAL,Legal & General,a264J000001QEXFQA4,False,False,False,False,
LIFESIGHT_WTW,LIFESIGHT_WTW,Lifesight (WTW),a264J000001QEXGQA4,False,False,False,False,
LLOYDS_BANK,LLOYDS_BANK,Lloyds Bank,a264J000001QEXHQA4,False,False,False,False,
LLOYDS_BANKING_GROUP,LLOYDS_BANKING_GROUP,Lloyds Banking Group,a264J000001QEXIQA4,False,False,False,False,
LLOYDS_PRIVATE_BANKING,LLOYDS_PRIVATE_BANKING,Lloyds Private Banking,a264J000001QEXJQA4,False,False,False,False,
LOANPAD,LOANPAD,Loanpad,a264J000001QEXKQA4,False,False,False,False,
LV_EQUALS_,LV_EQUALS_,LV=,a264J000001QEXLQA4,False,False,False,False,
MG_INVESTMENTS,MG_INVESTMENTS,M&G Investments,a264J000001QEXMQA4,False,False,False,False,
MS,MS,M&S,a264J000001QEXNQA4,False,False,False,False,
MERCER,MERCER,Mercer,a264J000001QEXOQA4,False,False,False,False,
MERCER_JDE,MERCER_JDE,Mercer (JDE),a264J000001QEXPQA4,False,False,False,False,
MERCER_SMITH__NEPHEW_UK,MERCER_SMITH__NEPHEW_UK,Mercer (Smith & Nephew UK),a264J000001QEXQQA4,False,False,False,False,
MMC_UK_PENSION_FUND,MMC_UK_PENSION_FUND,MMC UK Pension Fund,a264J000001QEXRQA4,False,False,False,False,
MONEYBOX,MONEYBOX,Moneybox,a264J000001QEXSQA4,False,False,False,False,
MOTOROLA,MOTOROLA,Motorola,a264J000001QEXTQA4,False,False,False,False,
NATIONWIDE,NATIONWIDE,Nationwide,a264J000001QEXUQA4,False,False,False,False,
