DefaultAmount__c,DefaultOverrideable__c,Description__c,DeveloperName__c,Discountable__c,Duration__c,Format__c,Id,Maximum__c,Minimum__c,Name,NovaId__c,Product__c,ProductRecordType__c,RecommendationType__c,RevenueDueTo__c
,True,Commission paid to us as a result of this protection product,REF_32,False,One-off,Fixed amount,REF_32,100000000,0,Aviva Life Cover Commission,,AVIVA_SINGLE_LIFE_COVER,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_33,False,One-off,Fixed amount,REF_33,100000000,0,Aviva IP Commission,,AVIVA_INCOME_PROTECTION,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_34,False,One-off,Fixed amount,REF_34,100000000,0,Aviva Life & CIC Commission,,AVIVA_LIFE_&_CIC,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_35,False,One-off,Fixed amount,REF_35,100000000,0,Royal London Relevant Life Commission,,ROYAL_LONDON_RELEVANT_LIFE_COVER,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_36,False,One-off,Fixed amount,REF_36,100000000,0,Royal London FIB Commission,,ROYAL_LONDON_FIB,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_37,False,One-off,Fixed amount,REF_37,100000000,0,Royal London Life Cover Commission,,ROYAL_LONDON_SINGLE_LIFE_COVER,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_38,False,One-off,Fixed amount,REF_38,100000000,0,Royal London IP Commission,,ROYAL_LONDON_INCOME_PROTECTION,,OPEN_PRODUCT,NOVA
,True,Commission paid to us as a result of this protection product,REF_39,False,One-off,Fixed amount,REF_39,100000000,0,Royal London Life & CIC Commission,,ROYAL_LONDON_LIFE_&_CIC,,OPEN_PRODUCT,NOVA
,False,,MORTGAGE_PROCUREMENT,False,One-off,Fixed amount,MORTGAGE_PROCUREMENT,10000000000000,0,Mortgage procurement fee,,,,,
,False,The comission paid to us as a result of this product,EXETER_LIFE_COMISSION,False,One-off,Fixed amount,EXETER_LIFE_COMISSION,100000000,0,The Exeter Life Comission,,THE_EXETER_LIFE,0121t0000001eUvAAI,OPEN_PRODUCT,NOVA
,False,,EXETER_IP_COMISSION,False,One-off,Fixed amount,EXETER_IP_COMISSION,100000000,0,The Exeter IP Comission,,THE_EXETER_IP,0121t0000001eUZAAY,OPEN_PRODUCT,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_GIA,False,One-off,Fixed amount,INVESTMENT_TRANSFER_GIA,10000,0,Investment related transfer fee,,GIA_HUBWISE,0121t0000001ePeA,LUMP_SUM,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_ISA,False,One-off,Fixed amount,INVESTMENT_TRANSFER_ISA,10000,0,Investment related transfer fee,,SSISA_HUBWISE,0121t0000001eNHA,LUMP_SUM,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_JISA,False,One-off,Fixed amount,INVESTMENT_TRANSFER_JISA,10000,0,Investment related transfer fee,,JISA_HUBWISE,0121t0000001l9AA,LUMP_SUM,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_JSIPP,False,One-off,Fixed amount,INVESTMENT_TRANSFER_JSIPP,10000,0,Investment related transfer fee,,JSIPP_HUBWISE,0124J000000d1BjQ,LUMP_SUM,NOVA
,True,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_SIPP,False,One-off,Fixed amount,INVESTMENT_TRANSFER_SIPP,10000,0,Investment related transfer fee,,SIPP_HUBWISE,0121t0000001eRHAAY,LUMP_SUM,NOVA
